1,chill song end
0,dont care
1,"someth disconnect regard flame colour . bottom flame blue temperatur c. term kelvin k. term colour temperatur , kelvin rang red . blue , kelvin k k ( celsiu ) . pleas enlighten . thank"
2,'ll one better : fire ?
1,follow question : it… . ’ word… ’ think word ? ! ?
1,could make video sun ? also made fire ?
1,"wait , fire real ? thought someth folklor ! today year old learn . thank ! ! ! !"
2,ok smart answer life question
2,wow learn alol
1,alway question
0,fire dehydr water .
1,"bunsen burner produc blue yellow flame . still black part bottom , wax would candl . ?"
0,"fire fire , explain lol"
2,thank ? know .
1,heisenberg would explain fun way
1,fire ? babi dont scorch dont scorch mo dun dun dud dun dun dun dun
2,love fire marshmallow cgi
1,* man smart explaign easi thing *
1,get water filter ad watch video expressionless_fac
0,"’ fire ? , babi ’ hurt , ’ hurt !"
0,titl : fire ? : fire fire
0,fire firecat_fac
2,wow ! made sens
2,great learn noth .
1,"'s theori , game theori"
1,man think advanc yet still amaz fire way ancestor . ’ explain ’ capac understand yet mani believ evolut exist ( real ) fire mani shade ’ evolv two thing light burn life thing .
1,"noth world univers simpl , even lit candl ."
1,ah .... old `` electr '' faraday
0,fire
2,fine addit `` recommend '' collect
1,extinguish candl wick reignit lit match without match come contact wick ?
1,... http : //www.youtube.com/watch ? v=dqwwwgxcq
2,’ liter best
1,"say , `` 'm go creat new element hous '' , instead `` burn hous '' ."
1,"babi ’ burn , ’ burn , ."
1,heat ?
1,"moham said : ( fire one part seventi part hellfir . said : messeng god , suffici . said : prefer sixty-nin part , equal heat ) ."
1,"blue part flame noth blackbodi radiat . glow blue use blackbodi radiat go temperatur minimum degre . degre degre , orang ."
1,"fire spark civil , agricultur start civil ."
2,good anim
1,"thing planet exist period tabl chart , world would exist without"
1,video doesnt need music .
2,"fire , babi dont hurt dont hurt ."
1,"class question stuck mind , final got answer ."
1,short answer titl is……your mom .
0,guy hot . ’ like scienc nerd metaphys ass need
1,. million peopl : n't know ... let 's find
1,recommend three day even though watch half
0,fire rapid oxid
1,would expect chemistri explain fire ? might well ask mathemat . rolling_on_the_floor_laugh
1,ohhhh wonder azula ’ fire blue
1,"fire technic aliv . defin life ? someth consum energi , grow , reproduc , die . sentient ’ factor ; plant aliv ’ “ think ” ? know ’ think ? plant think less oyster , sea otter , dolphin , human ? ’ arsonist , but…i admit…i grills…ther , said , admit addict . women buy mani shoe , buy mani grills…i animalllll ! ! ! * cri corner room *"
1,fire seem live anim . fire need eat someth charcoal maintain live . fire exhal wast air carbon dioxid carbon monoxid .
2,love ? babi dont hurt dont hurt love ? babi dont hurt dont hurt
0,short fire fire
1,think may favorit episod ever .
1,"excel descript candl flame . next time list fact , l w l ."
1,bad n't kid learn public school colleg ever .
1,"fire 's state matter ? ga , liquid solid ? someth els ? mayb 's 'plasma ' ? 's term miss clip ..."
1,fire invent : .mil year ago peopl .mil year : fire ?
1,voic crack . ouch
1,fire hot burn ow - cavemen
1,`` fire .... part made us human first place . '' well holi sh * ok_hand
1,fire english word beaming_face_with_smiling_eyesthumbs_upshooting_star
1,air rust quickli . save minut .
1,fire technic aliv ? follow almost specif live organ
1,attent span low ca n't even watch min video without speed
1,"interest video , point : fix audio balanc music , voic background audio , voic littl low compar rest , sometim hard understand"
2,great episod learn lot min !
1,plz program explain intens fire variou burn materi ; also plz inform us figur heat intens differ firesuit resist
1,"theori , fire hot move shape-shift light orang , red blue colour"
1,im four year late thank vid
0,fire ? fire ? fire ? fire ? fire ? fire ? fire ? fire ?
1,'s blade
1,eat ?
0,fire thing burn
1,"human : genesi kjv ... god creat man imag , imag god creat ; male femal creat ."
1,interview laport
0,fire ? : fire fire * end credit *
0,stupid tittl angry_faceeveryon know
1,think real question : fire ?
1,"glow , unburn partic ; mostli carbon ."
2,friend becam pyromaniac
1,"sir , truli want thank explan fire gener 's light . 'm year old bachelor degre even ask scientist still n't found straight answer watch video . mysteri becom bucket list question answer . 'm die yet , least go , go grave without answer life long mysteri . , thank much . cheer !"
1,question : fire ? answer : fire cool burn thing firefirefirefir
1,see vid mind * fire fire noth els *
1,titl made question alot thing
0,explain fire heart ?
2,"fine . week see video pop recommend , 'll watch damn video lol"
1,deliv like number . side note . minut explan fire lit !
1,"fire oxid chemic reaction result expenditur store energi matter . done , n't need watch minut clip understand either ."
1,"fun fact , soot free radic , make peopl swallow alcohol poison . react everyth"
0,got spirit fire .
0,ok dumb ?
2,nice fire
1,bruh flame hollow ? world shatter
0,fire
0,fire ouch .. fire bad
1,’ warm thing ig
1,ah ye . yt recommend !
1,year later
1,`` babi dont burn ...... dont burn ..... ''
1,titl make say `` dude cave man smarter u wth ''
1,finish sentenc low pitch . almost inaud . keep voic high
1,think : fire ? minut later youtub recommend ...
0,yo ’ fire fire face_with_open_mouth
1,flame also n't shadow
1,mate look like gaunson ridicul face_with_tears_of_joy
1,"hello , see comment like , yiu legend . 'll see everywher . ( least video get recommend . )"
1,"n't thing , 's bunch thing ?"
1,bruh everyon know fire teacher
1,today learn someth
1,man_facepalming_light_skin_ton
1,good video . class room grade school scienc .
2,wisdom world foolish god . st corinthian
2,get recommend ?
1,human har use fire .
1,psychopath want arson state contin .
1,"fire scienc class , told 's , `` rapid oxid presenc light heat . ''"
2,live long time without know flame hollow ! love vid ! great work !
1,thank much ! rememb grill chemistri teacher high school explain fire never satisfi answer . video fulfil curios perfectli !
1,chem bunsen burner expir grinning_face_with_sweat ... day hehe ...
1,"creat nuclear fission , purchas uraniun ? ask friend"
2,"babi n't hurt , n't hurt , . oh wait thought said love"
1,* leav comment next year get recommend *
1,voic get quieter minut start explain detail ? like shhhh 's secret
0,question fire .
1,vsauc never ceas inform .
1,fire . fire one thing n't chang past hundr million year .
1,"`` fire ? '' `` chemic formula n't explain fire ? ? ? , n't know fire , use . right ? chemic formula talk ? fire ? -fire ? thank ."
1,four_o ’ clockthree_o ’ clockthree_o ’ clockthree_o ’ clockthree_o ’ clockthree_o ’ clockthree_o ’ clockthree_o ’ clockthree_o ’ clockthree_o ’ clockthree_o ’ clockthree_o ’ clockthree_o ’ clock
0,fire anoth dimens
1,’ question ’ ask sinc kid . one abl answer
1,til candl flame hollow
1,’ know
1,’ know
1,okay .. nerd . think n't know ?
1,fire one bt power song .
0,’ hot dumbass
1,oxygen c glow ?
0,know fire ? mixtap ! hit soundcloud fool
1,yo guess physic lectur want present fire ...
1,shut ’ gon na watch school tomorrow
1,"background music fire , apm track ? name plz"
1,new bill nye ?
1,question : fire ? answer : watern ’
1,oh god . alway thought fire type plasma . ’ right ?
2,"better say love ? oh babi , n't hurt n't hurt more…"
1,"fire ? fire ! fire ? fire ? n't know look rather hot . ow touch ? look boss get fire . oh , good . hurri mall 's fire sale . cloth fire . someon help get realli hot fire outfit . put fire ? fire ? charg fire ? tie stake ? threw match feet warm someon pass cup water ? : field ."
0,fire powerfirefirefirefirefir
1,"first read titl , interpret `` whate state matter fire '' surmis plasma . correct guess ?"
2,"'ll one better , fire ? !"
1,romant video .
1,ok_hand
0,jid fire
1,cgi fire saw .. ?
1,"final , someon gut ask question ! ! ! fml . p. neat video ."
0,head hurt
0,fire human fece
0,fire burn eye ’
1,babi n't burn
1,gf firefir wait n't gfcrying_fac
2,bright orang stuff
1,fire got us far
0,’ bore
1,fire hot 's water 's orang sometim look blue burn smoke
2,nice explan good
1,u put flame ... estim tie signific action due underappreci physic ! ! ! effect kill soul ............... ! ! ! jk
0,duh fire dumb/j
1,babi n't burn .
1,brother .
0,fire fire face_with_rolling_ey
1,ask famili exactli fire . meant ask question none could give satisfactori answer . year later 've found video . thank lol
1,fire ? babi n't burn dont burn . candl
1,ummm one greatest thing ever seen !
2,get recommend me-
1,"peopl n't know flame hollow , never blown gentli candl n't go ? see hollow space insid"
0,fire may ask ? fire fire welcom
1,"imagin ask guy borrow lighter , well 're hell convers probabl cigarett haha ."
1,thank youtub recommend video actual year sinc video came .
1,’ wonder long time univers command algorithm send . thank
1,♫ ♪ `` join quest fire . search land . join quest fire ! discoveri man… ” ~maiden sign_of_the_horn
0,fake marshmallow fire upset
0,fire litfiregrinning_face_with_smiling_ey
0,fire ? babi ` hurt
1,"thi bid , almighti algorithm ? * fire * ye , master ... shall done ... serious though , get recommend page year youtub ?"
1,babi ’ burn me… ’ burn me…
1,youtub made .....
1,know much unknown littl known ?
0,ok dumb ?
0,fire air
1,"... heck said , lem see burn wax , control way , see ’ dark ..."
1,rapid oxid process chemic chain reaction result evolut heat light vari intens .
1,* answer : * video
1,"nuh uh . made , like spheric earth , heliocentr solar system , vaccin ..."
0,fire hire
0,fire ? ? ? fire thing consum exslightly_smiling_faceslightly_smiling_faceslightly_smiling_fac
2,actual realli interest . nice stuff !
1,drax : `` fire ? ''
1,'m go tell set children bill nye scienc guy
1,answer still
2,"great , graviti , buoyancy/dens ."
1,fire like anolog circuit compar neon digit circuit fact fire life noth live human sens without heat fire russian experi astronaut live energi induct soon becam insan . fire path depend like quantum lotteri win rich mortal life rich poor true rich fire goal put far yonder lay higher
2,thank video .
2,"thank , realli self consciou smart"
0,fire someth hot
1,"electron sometim get excit state come , bottom part blue ` ?"
2,great !
2,"supa hot fire , spit xd"
1,wind ? come ?
1,els randomli got recommend ?
1,face_with_open_mouth ?
2,question : love ?
1,ask would tell ?
1,`` rapid oxid '' alway way 've understood !
0,"fire , babe ."
1,still n't mention anyth fire
2,"hello , friend"
1,part spoon awesom . 'm go tri next time 'm romant even candl stuff .
0,fire fade ...
1,year
1,"hai , like know differ fire light ."
2,"fire ? babi n't hurt , n't hurt ,"
2,would like video like short easi watch
1,told fire hottest flame ?
1,imagin say one wrong word re-record whole thing
0,fire fire . stay away .
1,"graviti pull cold air pull air ? thought phenomenon due densiti hotter air molecul rather graviti . fact , thought graviti work molecul , feather fall speed brick vacuum . mean hot brick fall slower cold brick ? .. seem nonsens"
1,"molecular motion creat heat , provid combust materi fire ..."
2,wow flushed_fac wtf skippi sunflow
1,"minut ago ’ know fire isthinking_facethinking_facethinking_faceto eat , drink , n't know know fire is.st_place_medalst_place_medalst_place_medaltnq vdo"
0,cgi fire ? real fire right
0,brain hurt .
1,anyon els get reccomend ? ? ?
1,thought * long * past this…
1,"fire ? babi n't burn , n't burn ,"
1,part u collect ingredi fire illumin
1,"babi n't hurt , .."
1,flame energi mass ?
0,fire ? mixtap .
1,hold glow spot flam pattern ? especi candl .
0,serious ?
1,fire hot thing welcom
1,'s hot
1,direct vid ?
0,fire ... hot !
0,oh wow 's fire fire
1,im high asf
0,fire someth 'll get hurt touch
1,n't better show photon 's emit electron come ? instead put glow behind core ?
2,uwww great
0,pl stop annoy background music . omg
1,kinda disappoint n't mixtap
1,'s better googl question wast min .
1,tri burn oxygen hydrogen atmospher . amaz .
1,crazi mani hour life 've spent stare campfir never even realli question `` fire ? ''
0,fire fire -leav 's video
1,thumbnail look like afraid dark ?
1,ppl video : oggaaa boogaaa
1,'ve alway mess fire understand finger would soot pass thru candl flame
1,bro think marshmallow done .
0,fire ? outro music .
1,'m gon na sleep earli today also :
1,"fire realiti made substanc arm , air , even chair sit . matter made elementari particl compos differ order . ’ . % empti space . depend composit elementari particl primari sens interpret differ make everyth look differ separ realiti ’ one ocean vibrat particl ."
1,"spici air , final answer ."
1,interest thing fire correspond definit life yet say 's aliv
1,’ want know year ! !
1,and/or fli insect move vehicl manag maintain posit flight relat speed motion vehicl ?
1,mmmmmmmmmmmmmmmmmmmmmmmmmmmm mmmmmmmmmmmmmmmmmmnmmmmmmmmm mmmmmmmmmmmmmmmmmmmmmmmmmmmm mmmmmmmmmmmmmmmmmmmmmmmmmmmm like commentif found difrent
1,"babi ’ burn , ’ burn ,"
2,wow know fire
1,glide finger across flame ? burn ?
1,life
1,"could 've atleast told us state fire , solid liquid ga beaming_face_with_smiling_eyesbeaming_face_with_smiling_ey"
1,video lit
1,final understand .
0,fire
1,one actor ! scientist air hollywood better .
1,"fire light , hot ...."
1,anyon tell space look black ? n't light due million billion star ? ? eye see differ colour telescop show us ?
2,cool ! 've alway fascin fire scienc behind . love sit around campfir also play fire lol .
1,learn surpris amount info . thank !
0,’ weird ’ know
1,pov : .million peopl dont know fire like : rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laugh
1,spoon thing cold like wind blow around hous blow water fire
1,flame shadow ?
1,", million peopl like : hot water"
1,hot second thought vsauc video
0,fire
1,"seem dumb , spent sever hour look fire one time curios ! n't make sens mind . , look fire inst cook . mom got angri , woman_shrug"
1,"ca n't imagin ancient peopl discov fire , wan na know 's reaction first saw ."
1,"n't like drift philosophi .... serious anyth ... , unless one ascend human condit accept time construct , matter motion entropi 's need know ."
1,"hinduism , chandogya upanishad tell king pravahana taught sage gautama panchagni vidya , knowledg five fire . first fire svargaloka . sun samit ( sacrifici stick ) fire . ray sun smoke , day flame . moon ember . star spark fire . agnihotra perform , jiva becom soma raja enter svargaloka . second fire parjanya . fire , vayu air samit . cloud smoke . lightn flame . thunderbolt charcoal . roar fire spark . somaraja ( jiva ) oblat fire . third fire earth . fire , year samit . akasa , sky , smoke . night flame . direct live charcoal . direct spark . oblat case rain . rain reach earth , food grown . fourth fire man . speech ( vaak ) samit . prana smoke . tongu flame . eye live charcoal , ear spark . oblat food . food seed man born . fifth fire woman . interact man woman live charcoal . small pleasur spark . oblat seed man , newborn eman . thu chandogya upanishad say jiva go svarga , stay temporari . come earth rain becom food , get transform seed man , result procreat . import point note jiva pass variou stage , essenti natur remain unchang ."
1,flame hollow ? ! ? jaw drop . awesom . sub . : )
0,"fire ? oh babi , 't hurt , n't hurt , ."
1,"think real question , fire ? exploding_head"
1,babi n't burn .. n't burn .. ..
1,'m still tri figur `` pb | digit studio '' rearrang `` 's okay smart '' p u come ?
1,"didnt answer question : cant touch fire ? touch ga , liquid , solid . fire , noth touch finger ."
1,intro… though gon na play… . * chug jug .. l *
0,fire cold
2,bottom hotter ? sure ?
1,'s fire ? uh .... thing burn ?
1,uncl alreadi explain twice still n't quit get
1,year ago… ..
1,wow thank much ! ! question head sinc th grade lean matter energi
2,"interest , use"
1,rip n't click video publish
1,…and it… ’ word ? buuuurrrrrrrn ? ?
1,ok make teleport machin
1,guess could say video pretti lit
1,clb .
1,"fire first discov , realli “ hot ” topic ! face_with_hand_over_mouth"
2,ok smart
1,titl question exist . good question
0,fire burn
2,yt recommend year ! yt ? ? ?
1,describ fire chemic process . physic process ?
1,"realli cool . feel like understand fire lot better . though , kind wish could explain gener caus complex shape bigger fire like campfir . guess asid mention alreadi candl bunch collis within flame ."
1,n't know flame hollow man burn marshmallow
1,"fire pretti much visibl electro magnet wave form heat call visibl energi come color order coolest hottest . red , orang , yellow , green , cyan , blue , violet . honestli could go electromagnet spectrum even though start learn th grade . edit : video goe detail talk , also find topic ars- mean fire interest ."
1,"thumb done , come peopl open ’ mind"
2,ok ff okay
1,n't guy look like actor play suit snowpierc ! ?
1,`` fire '' ? question someon ask listen one juic world song
1,sicko mode travi scott
1,univers rolling_on_the_floor_laughingface_with_tears_of_joyrolling_on_the_floor_laughingface_with_tears_of_joy
1,musical_noteswhat ’ fire ? it…what ’ word burrrrrrrrnnnnnnmusical_not
1,"fire ? babi n't burn , n't burn . ."
1,chemic reaction involv heat light .
1,"fire king , queen , presid , crimin , gener , mp etc devil 's gon na burn . differ hellfir black yellowish like worldi one . one taken hellfir put worldi fire , shall fall asleep ."
0,want know fire fire n react
0,think answer fire
0,* ” fire ” *
1,fire cast shadow aswel .
2,bright stuff
0,guy fire thing
1,wow . one thing think 'll alway get figur decad later find ...
1,still ’ quit get clear answer fire
2,?
1,babi dont burn
2,"wax good helper , ` burn alon ?"
0,fire ? fire good .
1,"\i know made way save extra complex , realli bother electron move orbit orbit , rather `` jump '' ( )"
1,fire ? playlist duh face_with_rolling_eyesraised_back_of_hand
1,imagin answer teacher 's question type answer .
1,still ’ understand fire zany_fac
1,teach kid * fire nation *
1,", fire light blackbodi radiat . candl flame hot enough make blackbodi radiat visibl . energi promot electron burn materi , electron come back , produc photon . blackbodi radiat happen extern energi provid . outer flame oxygen therefor higher temperatur candl ."
1,"fire ? an : fire warm/hot thing kill , cook , burn heal 's also thing man tame ."
1,"dude , taught scienc class lab , would ’ cool fricken lab experi . “ oh yeah ’ around fire whole life , know . wait flame hollow ? ”"
1,"spongegar , patar squog 'll thank later"
1,oh fuckin way think brain make sacrific
1,huh ... thought flame plasma . 's much complex .
1,ever wonder daze space look core fire ?
1,"said door burn away time reach top , carbon atom go ? mean say “ burn . ”"
2,fire fire fine ... * 's ok smart *
2,get recommend face_with_symbols_on_mouthface_with_symbols_on_mouthface_with_symbols_on_mouth
1,titl : fire ? .m peopl : intrest !
1,fire hot u n't know
1,"way nuclear reaction similar candl , ignit reaction continu fuel run ."
1,gass jauz
1,amaz smiling_face_with_heart-eyesok_hand .... thank much make video . red_heart india
1,": dont need , thank also brain : click !"
0,fire eye
1,stay curiou
0,fire
1,"bright thing burn solid , liquid even ga . probabl"
1,hot hot hot leg leg hot u fri egg ask mettaton 'll tell u
0,easi answer : fire fire
1,"got recommend , click ask omv fire grinning_face_with_sweatgrinning_face_with_sweat life"
1,"wonder part reason find flame hypnot evolut . like tame fire human experi , found peac fire someth . knew around meant safeti . idk . thought video provok"
1,"fire ? babi don´t burn , don´t burn , !"
0,ye fire inde .
1,forget carti cours
0,fire ? : hot
1,one talk got recommend like year old exact day .
1,n't look like joe bartalozzi ? face_with_tears_of_joy
0,: fire plasma
2,candlestick like kind mini nuclear reactor ?
1,man explain fire lore
1,tini correct : blue bottom part hottest part . blue actual cover whole fire caus specif transit simpli blackbodi radiat ; overshin brightli glow yellowish part . keep good work !
1,im nervou footbal
1,flame hollow . ye . put finger candl 's flame felt cold center
2,absolut love . last word .
1,"ohh god , studi scienc last year n't know fire j never think ."
1,"wth , reload recommend time week still show top"
1,burn
0,'s pure evil . http : //youtu.be/suiakrocgu
1,wait ... flame marshmallow blow cgi ? n't use real burn marshmallow ? would 've much easier .
1,could n't burn real marshmallow ?
1,thank ad sound effect awesom
1,okay fire ? never aswerd question .
2,video n't fear hell anymor
1,guy look like dad version matt watson
1,first
1,video .
1,"appar algorithm think 'm caveman . far , guess ."
1,water
1,flame hollow ? ! ! ! exploding_headexploding_head
2,love ?
1,kept talk flame never actual got point actual . kept talk admir .
1,'s someth hot light think ok bye
1,talk fire . one sit next n't match smoke next .
1,chemic reactot releas energi . simpl
1,hi waving_hand
1,"babi n't burn , n't burn ."
1,'s exotherm chemic reaction .
1,"jenni kim fire , 's answer"
1,question ask year ago never look
1,read titl randomli thing bt fire bultoren lol armi ?
2,?
1,know fire still click see gon na explainexpressionless_faceface_with_tears_of_joy
0,mayb fire ?
1,thought vsauc
1,"much want listen video , turn immedi incred annoy background racket . go societi today almost inform accompani repetit background nois !"
1,“ visual represent heat energi ”
1,electr
1,light shadow . light .
1,scientif explain cat fieri furnac ? ? thinking_fac lol hollow flame hmm cool !
1,everyon use like flame thing
1,judg comment ... one yt randomli recommend year later lol
1,school watch water documentari recommend ? ! loudly_crying_fac swear fbi spi ..
1,got game recommend bruh
0,"n't play , lol ."
0,fire hot !
1,"thank lot explan . n't say one thing : part frame turn plasma , molecul tea apart form ion electron ."
1,old gold
2,fire ? babi n't hurt n't hurt
1,never even thought anxious_face_with_sweat
0,invent fire intellig .
1,fire hot burn made gase think
1,"lawrenc arabia , instanc , would pinch snuff candl flame finger cool part , yellow part flame . pinch lower blue part , would gotten burn ."
1,"layman 's term possibl , understand see fire light radiat soot , much like magnesium coil lightbulb ... fascin"
2,cool ’ even confus lol
1,els reccomend today ? face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1,"okayyy youtub 've recommend past time , alright 'll watch"
2,"first video guy , alreadi like . great lad !"
1,"sinc middl hollow , cooler ?"
0,fire hot ... fire burn .
2,god someth wonderfyl
2,thank !
1,rhe real question ... fire .
1,kid use love burn paper still rememb burnt paper someth written ink flame touch ink flame chang orang marin color flame
1,hard understand word sometim loud puls nois background . might better stop intro music talk start .
0,fire : touch=ow . fire+ food= yum stomach ouch . fire white cold=nic . fire earth mad= bad
1,fire ... 's word ... burn ? ? ? ?
1,long stori short .. fire burn .
0,video fire use cgi fire start…sad .
1,even camp ’ drip max
1,.. ’ real… flame hollow ? one told
1,im curiou oxygen hydrogen bottom flame would make blue ?
0,great answer question fire fire
1,today found flame hollow ... exploding_head
2,.m peopl : * hmmm interest *
1,go methan gase caus happen ?
1,explain color temperatur
1,'s music throughout video ?
1,combust
1,"thought go explain fire . exactli flame ? chang 's shape move around , like camp fire candl ? answer ? flame point space fuel combin oxid fast enough rate creat light heat . atmospher 's shape subject air current determin 's ever chang shape ."
0,fire b
2,recommend everyday
1,"`` 'll one better , fire ? ''"
1,peopl use imag someon pass away
0,fire someth burn
2,know fire differ way n't know fire . wait lem make sure xd lol like xd
1,"someth realli need formal understand ... amaz thing fire like hollow , yellow part flame hydrocarbon ... thought , fire/flam pure energi , see naiv look ..."
2,cool
2,reason love flame man realli love final pop yt total worth watch class
1,'m curiou thing call `` fire ''
1,`` 's okay smart '' also : `` what fire ? ''
1,women 's mind ?
1,"babi dont burn , dont burn"
1,awesom understand say
1,ok youtub ofici get crazi weird
1,good love would never ask question soon saw video think .. `` idea exactli fire ''
1,'m sorri wrong fire longer correspond definit life cell 'm sure alien life come happi realiz 're consid life definit
1,"actual god made fire year ago man copi . checkmat , scienc ."
1,math relat scienc ?
2,"’ one better , fire ?"
2,love chanel ! ! ! ! !
1,someth burn * que aveng end music *
0,fire element powerfir
1,carbon photon excit state .
0,see titl like : fire fire
1,knew ....... pleading_fac
1,fire mixtap come soon .
1,know 's fire ? new mixtap !
1,haha think day . alway candl lit stare flame . like ! ?
1,"never mani `` oh , 's crazi ! '' moment short amount time"
1,fire ask ? kany west
1,rd season twin peak
1,today think fire plasma els :
1,want apolog wife nanci jessica hahn bathtub incid . pleas n't make mockeri .
0,fire fire upside-down_fac
1,"“ creat angel light , jinn smokeless fire , man clay. ” -the quran ibli walk adam solid , said “ human fill much potential. ” littl know hollow ; natur ."
1,notic nobodi light flame fakest video ! !
1,"backhand_index_pointing_rightbackhand_index_pointing_rightbackhand_index_pointing_rightbackhand_index_pointing_rightbackhand_index_pointing_rightbackhand_index_pointing_rightdo n't reli understand instead trust lord god thine heart , caus creat heaven earth.globe_showing_asia-australianight_with_starssun_behind_cloud"
1,pictur donda
1,kept tri figur day ago got yt recommend lol
1,.smiling_face_with_heart-ey
1,fire hot thing sinc invent . : )
1,answer question titl : new batman trailer . fire .
2,great video ! cheer !
1,matic coin doge coin money-mouth_facemoney-mouth_facemoney-mouth_fac
1,take fire seri chemic reaction
1,titl gave existenti dread
0,whoa ! learn someth new hell .
0,fire got fire og
1,copyright :
0,", fire ? eyemouthey"
1,aa-tom
1,look curios . n't disappoint
1,fantast explan someth ’ never given much thought . amaz anyon watch could give “ thumb ” complet relat understand video .
1,spoon come : omfg 's reveal thing 've seen entir life
2,interest
1,"blue flame color c-c h atom , black bodi , want make blue bodi turn blue , heat hotter sun ."
1,bo burnham ’ newest movi
2,one great video thumbs_upthumbs_upthumbs_upthumbs_upthumbs_up
1,learn chemic process go mixtap
1,"appear menu alway tought fire carbon + ozonium mix low porcentag oxygen ... heat tought come mix mention , never could imagin fire literari complet complex thing , water interest"
1,b_button_ ( blood_typ ) ussi firefir
0,fire ? fire hot .......
1,know need explan glad found .
0,fire someth hot fire
2,keep get recommend ?
1,", parent world want make kid becom inhuman , sinc tell kid play fire"
1,everi eminem song . fire .
1,"cool bean , say hot bean ? ? ?"
