label,text
1,"agre . progress extrem fast . stanford came 's version model base meta 's worst model $ perform similarli davinci run gpt . made way effect way quicker . still think programm , lawyer etc . need job complet differ . reli badli written document learn solv leetcod problem , offens , naiv ."
1,"think bit closed-mind ( npi ) way think . 's hype bit wrong way lot product gain offer deserv hype . 's replac program replac program overhyp . think thing ai overal ( chatgpt ) help overcom lot pointless work . said yeah wish open sourc , ought , go back word n't realli surpris n't make overhyp ."
1,"ai gener overhyp . sure , 's great 're busi ... normal peopl 're decad behind come avail , unless count use api ."
1,"technolog even power tool access internet , mean hallucin"
1,"well , thing better languag syntax never fail . think peopl focu actual articul , use proper word analyz speach concis way . tri gpt . follow : let say input follow array : nums= [ , , , , , ] , target . two indic contain element add ? answer give alway correct ."
1,ask question bing ai balanc also precis mode got right time .
1,"gpt- final product openai . gpt- beyond come real soon . ad gpu linear increas perform realli scari . game . human brain limit biolog , ai limit improv .. !"
1,öhm n't u work googl ? : )
1,"final , sober thought !"
1,comput scienc student feel relax
2,better hand elon
1,'s go replac develop .. 's go reduc number develop requir .. less job beginn
1,"year ago , n't ai could pass bar exam ( exam multipl choic , write essay know case law ) . even close . . fact happen fast , show over-hyp . recogn limit . gener intellig yet . might take ."
1,'m gon na copi someon els 's comment video : diss track ?
1,'d understand bash sinc 're googl employe
1,rebrand clopenai . know 's bad joke . need put .
1,love leafi style video u remind leafi anyway
1,"mean , state gpt good enough `` '' % user prefer answer total disconnect realiti . pretti sure neetcod would number show neetcod prefer leetcod % user would spam everywher lol face_with_tears_of_joy sentenc even follow slide giant fake news written top loool face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy , cherri top , hear `` last % '' hardest make laugh much . clearli video gpt object 's neetcod worri lose potenti custom . tone video differ , good reason peopl actual learn code instead reli `` statist text ai '' ( yeah exactli gpt gpt giant statist model determin sequenc word statist , 's good text math ) . categori ai n't concept creativ softwar engin code design ( requir creativ ) system , platform , compon . gpt capabl carri task , use write code need understand code work need learn among thing code : ) got chatgpt gpt gener code calcul pi use c opencl leverag gpu acceler , although took . cool ? total ! use ? ; ) also point sever time error kernel opencl api utilis requir knowledg first place . , , gpt replac softwar engin `` last percent hardest part '' need design even start face_with_rolling_ey"
1,"openai everyth set , name point mislead ."
1,channel becom hilari day day .
1,"“ ’ even solv leetcod problem . fair , neither ” face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy"
1,chat gpt gpt- gpt- .
1,make lot mistak code stuff . n't deep understand requir engin softwar . think build special model help certain task instead glorifi web scraper .
1,man hit right centr heart broken_heart
1,"sound like critic critic . `` overhyp '' subject ; ye , gpt- object better gpt- .. much better ? much better . becasu dont think respons complet tune like doesnt mean agent overhyp . main focu imporov ai correct fewer bias ."
1,"thing 'll probabl see compani start withhold research data , especi googl ."
1,"like say - oh 're safe , cute babi tiger uncoordin , teeth harmless ! fals alarm , carri . - year later peopl would rip shred . . % peopl ca n't leet code . % job n't 'creat innov solut complex problem ' - 're repetit , formula uncr - sort thing gpt- instantan , / , demand , . cent . time prepar , pivot , research , adapt , integr contrarian contrarian sake ."
0,haha paypal doc total shit
1,dad : ai replac programm ? kid : ai replac programm ?
1,haha gilfoyl dinesh video two frdsrolling_on_the_floor_laughingrolling_on_the_floor_laugh
1,"tri ask gpt math encod imposs 's obfusc purpos . 'm confus n't check first , even test simpl encod function . reason n't work believ encod messag , ask respond encod form would bypass mani restrict output ."
1,look like googl employe lot pressur face_with_tears_of_joy
1,"'s silli think gpt real person ai , 's pretti neat effici gener text 's applic gener way . 's useless without compil"
1,"announc video talk `` align '' output made roll eye . like ye , anoth corpor overlord decid n't ok us see like youtub trigger happi demon algorithm ."
1,"'s way overhyp , like . first came . suspect hype mostli cash-grab content creator . look impress first glanc inspect 'll often find make shit even close factual correct . also extend code tell load packag use function n't exist ."
1,"n't complet replac lawyer , programm , account revolution field . need replac % + hand supervis profession manag `` team '' ai effect crush entir industri ."
1,famou last word
1,"let tri answer `` limit gener ai '' question : way , make bs gradual better , human assist rl , even look like sort intellig . bs bs , without real abil think logic , remain , unreli ."
1,use chatgpt code week say much better chatgpt . perfect accur want better result gpt give instruct block block also frustat part gpt fix one code error code may get error session gpt surprisingli forgot specif instruct gave maintain workflow ! experi gpt may help save time cant reli solut realli overhyp term code fix error !
1,"'ve say long time , still think gpt heavili aid freelanc worker , 's alway secret sauc ai actual good feel , probabl involv nda lol . mean 's lot unemploy around world even peopl noteworthi educ , 'd easi creat employ opportun . let user prompt review realtim , plu mayb actual exist ai tool streamlin process help prompt user . funni tinfoil hat conspiraci 've year . would fun think ai actual begin creat unifi human hivemind ."
1,definit use ai script video face_with_tears_of_joy
1,"brought good point abl basic arithmet lol ! languag model suck math , happen realli good actual code thing amount code train . tool develop gpt use extern tool like calcul perform actual comput sinc tendenc hallucin . , ask write code math problem rather give actual answer , suprisingli give accur answer ."
1,bro talk less job ai like like work
1,"'s kind video look . video question thing , identifi limit , etc ... 's intellig peopl . say `` wow cool , exam '' like silli video alreadi avail . sw dev , best bet probabl work skill keep competit advantag , rather jump gpt- bandwagon like sheep ask work . would like beg replac ai . hire compani go ask : `` show ask gpt- solv hire test '' . compani go trust gpt- even gpt- point fulli replac sw team . noth share tech , could yet anoth elabor scam . read tech compani s.v . ( gpt thing ) market ai power , fact , team guy paid pittanc type name pictur , day long . could anoth therano , know . also , alway , imagin everyth ask gpt- record process use build profil , sold market compani . goe step surveil ."
1,"sorri . ca n't replic result around minut . ) give back python code comput indic , ) tell indic list add , ) solut uniqu . correct . ( correct : 's ) unfortun , common experi make . peopl complain `` simpl '' mistak chatgpt whatev model make , punch . n't actual make mistak realiti . know certain thing n't well experi experi also tell n't issu ad one two-digit number ."
1,"abl open , basic close , 're meant ."
1,"averag person never use gpt program , 's fun play actual work . think programm safe ."
1,"nerf heck chatgpt- , n't see chatgpt- go use . 's probabl go way restrict sinc 's suppos power ."
1,"seem ambigu question , ask sum indic sum element . need train ask clarif instead carri regardless ?"
1,cope need
1,"one area interest chat-gpt tri help rust homework , got clue adopt new ( new least upcom ) technolog could slower human . food thought , think compil rust strict ."
1,much expect chatgpt upgrad long might take accord
1,"sr. develop , ca n't agre !"
1,mate ’ cope . time accept realiti
1,"respect close mind . ai keep get better , faster . give two year see . still time peopl figur safe job though ."
1,"bro use mit distribut system lectur stock footag , 'm dead"
1,solv leetcod problem . neither coldface_with_tears_of_joyface_with_tears_of_joy
2,paid free - gpt
1,chatgpt go replac sde ?
1,"tri replic problem show , bc pretti funni , actual answer question correctli , even tri tricki question multipli number two ask sum possibl"
1,guy tri say percent low percentag lol
1,"ask chat gpt two_sum problem solv use hashmap . wrote python code ran without bug , correcli determin output ."
1,first time watch video . like ground aspect technolog . although think 's one crazi mileston toward agi singular .
1,"hi neetcod ! ( neetcod premium user ) make video softwar engin best practices/ technic concept applic industri ? like git command , databas , oper system , api , etc ? concept softwar engin ( entri level least ) know . releas , 'd greatli appreci ! : )"
1,wonder opinion stand announc copilot x chat gpt plugin ...
1,gpt base chatgpt destroy bard face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1,"artifici intellig still doesnt exist yet . buzzword . let also forget oh unprofit gpt . , let alon gpt . yet come ai hype . think chatgpt misunderstand , hallucin , wrong , text predict system , tri anyth beyond score like next token appear base data `` train '' ."
1,"gener artifici intellig ( ai ) refer machin learn model gener new data resembl train data . model shown great potenti variou field , still limit . main limit gener ai : data qualiti : gener ai requir larg amount high-qual train data learn . train data low qualiti bias , gener ai model may produc inaccur bias result . overfit : gener ai model overfit train data , mean becom special reproduc train data fail gener new data . understand context : gener ai produc data resembl train data , may alway understand context data abl interpret accur . limit creativ : gener ai produc new data , still limit creativ compar human imagin . comput power : gener ai model requir signific comput power train run , may limit access applic . overal , gener ai mani promis applic , import understand limit consid potenti risk bias may aris use ."
1,refresh wind current overhyp normi .
2,"great inform , object video"
1,"lmao realli think googl engin complain chat gpt , know googl ’ even replic funni af rolling_on_the_floor_laugh"
1,"yesterday , troubl seem far away look like stay ... oh believ yesterday"
1,gpt much better spit correct code flash .
1,", updat gpt , , 've chosen focu neg instead amaz benefit provid . understand want stand youtub , everyon seem sing gpt 's prais , 're disservic . openai chosen keep gpt closed-sourc , n't blame . tool incred power , 's understand would want capit receiv recognit hard work . made open-sourc , would lose potenti profit credit . addit , seem fixat area gpt- fall short , countless way leverag tool achiev groundbreak result . 's true gpt- struggl trivial math problem , 's unreason expect excel everi area . one promis perfect , all-encompass super brain . furthermor , one claim gpt- readi replac job time . test new technolog anyth matter , consid pro con . howev , case gpt , neg pale comparison incred benefit offer . therefor , creat video seek downplay hype seem somewhat superfici ."
1,technolog scientif advanc ( like gpt- ( n+ ) ) go give us abil build thing werent feasible/poss build . replac job like counterbalanc creation new one .
1,"u think overhyp either u r waayyy dumb fathom magnitud gpt- chang human life forev , u r one ppl r afraid innov evolot ju want wine stay denial u dont fear ur job . either case u r either iron u r first one made obsolet"
1,@ neetcod pleas show face
1,feel replac percent programm futur
1,"mayb programm lawyer account , definit replac lot intern paraleg mayb even financi advisor , 's expert 's realli good mani thing , said think gpt- expens slow use product code right hardwar kind stagnat past mayb year probabl take happen , still pretti cool tech though ."
1,"aspir programm , job rout ( ) would recommend ? hyster `` end ... '' headlin quit unsettl ."
1,"problem video wo n't age well , inevit happen ."
2,bro cop hard lmao
1,"mani programm creat content 's think , 's actual dumb , 're safe ! mean least felt potenti danger ! btw , tool help engineers/develop amount work x develop need , mean replac junior mid level develop ! even without ai , see similar pattern mani field ! nowday , small game studio develop aaa-qual game short time ."
1,well said bro . complet agre thumbs_up
1,"man realli said `` ... fair , neither ''"
1,imposs challeng : likeabl somebodi uniron use chan terminolog offsit
1,"point view , never ask chatgpt numer calcul profici area . instanc , ask perform calcul divid , produc numer incorrect result . howev , ask chatgpt concept . exampl , ask differ diverg oper gradient oper integr call line integr , deriv vector field call ? case , chatgpt provid accur answer ."
0,didnt roast like
1,peopl tend overhyp thing ‘ know
1,"complet reliant input qualiti output qualiti , abil actual think , go compat busi requir . make mistak , mean 'll need worker understand n't work . mean pay worker ai , lose time go code could written properli first time . like excel . use product booster , rais baselin . might replac simpl job , one requir degre think abil ."
1,need ai overhyp tbh otherwis less invest mean less innov mean disappoint ai
1,"chatgpt like napster , download illeg song make song . peopl scream 's danger never written line code . elong south african musk especi joke come understand tech , seem like total code nb . real programm know , show ai written scientif journal book & conclus world , long n't , noth fear . long n't copyright theft ."
1,"think gpt ( even chatgpt ) show first glimmer higher level think larg emerg meta structur implicit corpu languag , evolv meta structur trial error basic shape way basic element combin via subtl higher order dynam weight . emerg formal structur embed ai weight highli optimiz term model size robust , go forward like lot low hang goodi . 's bit like gutenberg press exponenti made knowledg implicit understand mankind avail mani catalyz understand consciou world result mani power feedback doubt aid renaiss jump start human collect iq modern era ."
1,copi fireship ’ thumbnail ? fireship upload video gpt- less day later
1,"junior dev report issu project mine . tri reproduc close pull hair abl reproduc issu debug . spend good hour without solut . yesterday copi past code ask gpt bug imemdi told race condit chang time like encount provid solut . moment past find , fix issu , total minut pass . minut . vs hour spent aimlessli prior . cours hindsight / work backward easili find problem , point view stuck solv instantli . mere chatbot less ."
1,"alway hype . even chatgpt , googl 's lamda , imo , way advanc tini chatbot ."
1,"`` ca n't solv basic leetcod problem , neither loudly_crying_faceloudly_crying_faceloudly_crying_fac ''"
1,"channel deserv unsubscrib , bye"
