1,"someth els 's worth mention exist ( n log n ) solut . obvious inferior averag case ( n ) perform one-pass hash tabl , 's worth mention . clr algorithm textbook , exercis .- . basic , procedur first perform merg sort array , follow binari search complement element . merg sort take ( n lg n ) time , perform binari search ( log n time ) n element take ( n lg n ) time . thu , entir algorithm take ( n lg n ) time ."
2,thank lotred_heart
2,well explain .
1,three sum !
1,leetcod geniu rolling_on_the_floor_laughingrolling_on_the_floor_laughing… pensive_fac
1,"make sens , valu need sum . one valu appear anoth . cool work around ."
1,"wolfsbane_u 's avatar wolfsbane_u hour ago view found solut two sum leetcood could understand : question : given array integ num integ target , return indic two number add target . may assum input would exactli one solut , may use element twice . return answer order . solut : var twosum = function ( num , target ) { const obj = { } ; ( let = ; < nums.length ; i++ ) { let cur = num [ ] ; let delta = target - cur ; ( obj [ delta ] || obj [ delta ] === ) { return [ obj [ delta ] , ] ; } obj [ cur ] = ; } } ; || obj [ delta ] || obj [ delta use way ?"
1,n't memori ( n- )
1,awesom solut !
1,awesomered_heart
2,thank . nice .
1,sorri ask stupid question key hash map ? index ? valu ?
1,sort array use left right approach
1,"class solut : def twosum ( self , num : list [ int ] , target : int ) - > list [ int ] : , num enumer ( num ) : j rang ( i+ , len ( num ) ) : < len ( num ) - : num [ ] + num [ j ] == target : return [ , j ] els : return [ ] brute forc , ms .mb memori . think hashmap use higher level languag like python run c underneath . mayb c++ java abl leverag due proxim assembl . hashmap time right ?"
1,pleas make dsa playlist idolo
1,"understand return statement return index revers order , [ prevmap [ differ ] ] repres index differ , basic mean [ , ] , number current check loop ."
1,essenti use hashmap would ( n^ ) right . tri cpp would essenti requir loop .
1,"'s differ use `` '' keyword list compar dictionari ( hashmap ) ? thought method iter iter object list . mean `` number list '' request iter list , would take process complex o^ . happen instead use hashmap ? process complex becom ( n ) ?"
1,video help . one advic : -do n't put next video link/thumbnail end video . cover code part . want put add -sec blank screen end put .
2,thank much !
2,great explan visual !
1,"thank crystal clear explan . question , feel approach one-pass hashmap . wonder would possibl implement python two-pass hashamp solut java ? thank !"
